text,label
Produk ini memiliki kualitas terbaik,positif
Sudah sampai kondisi tidak ada masalah,netral
Sangat mahal untuk kualitas seburuk ini,negatif
Pengiriman dalam estimasi waktu normal,netral
Barang tidak sampai dan tidak direspon,negatif
Seller tidak amanah produk palsu,negatif
Packing rapi dan aman tidak ada kerusakan,positif
Barang datang cepat dan kondisi sempurna,positif
Terbaik dari semua yang pernah saya beli,positif
Produk terbaik yang pernah saya beli,positif
Pengiriman sangat telat dan tidak ada info,negatif
Standar saja tidak ada yang menonjol,netral
Seller tidak membantu sama sekali,negatif
Sangat puas akan belanja lagi,positif
Pengiriman menggunakan jasa standar,netral
Tidak ada yang istimewa dari produk ini,netral
Pengiriman cepat seller amanah,positif
Harga tidak worth it sama sekali,negatif
Barang ori kualitas bagus harga pas,positif
Kualitas produk melebihi ekspektasi saya,positif
Kualitas produk standar untuk harganya,netral
Beli lagi pasti kalau butuh,positif
Puas banget sama kualitasnya,positif
Tidak akan belanja lagi sangat mengecewakan,negatif
Produk normal tidak ada keistimewaan,netral
Tidak ada masalah dengan pengiriman,netral
Sangat memuaskan terima kasih seller,positif
Produk palsu seller penipu,negatif
Harga terjangkau kualitas premium,positif
Kondisi produk biasa sesuai harga,netral
Kualitas sesuai harga bahkan lebih,positif
Pengiriman sangat lambat,negatif
Barang sesuai foto bahkan lebih bagus,positif
Penjual terbaik transaksi lancar,positif
Pengiriman normal tidak ada masalah,netral
Produk keren banget bikin happy,positif
Barang diterima dalam kondisi perfect,positif
Kualitas standar untuk kategori ini,netral
Saya sangat terkesan dengan kualitasnya,positif
Produk biasa saja sesuai harga,netral
Barang sudah tiba sesuai estimasi waktu,netral
Seller terbaik dan paling terpercaya,positif
Produk mantap kualitasnya top,positif
Belanja di sini sangat mengecewakan,negatif
Sudah terima barang kondisi oke,netral
Produk asli tidak ada cacat,positif
Sangat kecewa tidak puas,negatif
Produk gagal total tidak bagus,negatif
Produk terbaik pilihan cerdas,positif
Pengalaman terburuk belanja online,negatif
Pengiriman sangat buruk barang rusak,negatif
Barang rusak saat diterima,negatif
Bahan murahan tidak sesuai foto,negatif
Kualitas jauh di bawah harga yang dibayar,negatif
Harganya worth it banget sih,positif
Produk ini sangat bagus dan berkualitas tinggi,positif
Produk masuk kategori rata-rata saja,netral
Produk standar tanpa fitur khusus,netral
Kualitas jahitan rapi dan bahan tebal,positif
Pengiriman sangat lambat tidak profesional,negatif
Produk cepat rusak tidak tahan lama,negatif
Produk unggulan pilihan tepat,positif
Seller merespons dalam waktu normal,netral
Produk cukup untuk kebutuhan dasar,netral
Produk ini cacat dan tidak layak pakai,negatif
Produk sangat mengecewakan kualitas buruk,negatif
Produk mudah rusak tidak awet,negatif
Pengalaman belanja terbaik di sini,positif
Sangat worth it harga segini,positif
Kondisi oke tidak ada komplain berarti,netral
Produk tidak sesuai ekspektasi sama sekali,negatif
Barang tiba tepat waktu kondisi normal,netral
Sangat bagus dan direkomendasikan,positif
Produk tidak original palsu,negatif
Produk ok sesuai harga yang tertera,netral
Kualitas oke packaging bagus,positif
Seller tidak jujur dan tidak amanah,negatif
Barang tidak sesuai deskripsi yang dijanjikan,negatif
Kepuasan pelanggan terjaga sangat baik,positif
Kondisi barang normal sesuai ekspektasi,netral
Packing jelek barang rusak saat sampai,negatif
Sangat buruk tidak merekomendasikan,negatif
Harga tidak sebanding kualitas buruk,negatif
Sangat mengecewakan total kecewa,negatif
Produk gagal fungsi tidak berguna,negatif
Bahan premium tidak mengecewakan,positif
Fast response seller terpercaya,positif
Tidak sesuai foto dan deskripsi,negatif
Barang jelek harga mahal tidak sesuai,negatif
Barang diterima dalam kondisi biasa,netral
Produk sesuai deskripsi bahkan lebih bagus lagi,positif
Harga mahal tapi kualitas murahan,negatif
Produk sesuai deskripsi tidak lebih tidak kurang,netral
Kualitas sampah tidak berguna,negatif
Barang sudah diterima kondisi biasa saja,netral
Pengiriman aman barang tidak rusak,positif
Sudah beli dua kali masih memuaskan,positif
Barang oke sesuai foto tidak berbeda,netral
Kualitas dibawah standar sangat buruk,negatif
Belanja pertama langsung puas,positif
Tidak ada keistimewaan dari produk ini,netral
Sangat puas dengan pembelian ini,positif
Recommended seller terpercaya dan jujur,positif
Transaksi normal seller responsif standar,netral
Jangan beli di seller ini rugi,negatif
Ini penipuan produk tidak sesuai,negatif
Barang tidak sampai seller kabur,negatif
Produk ini penipuan total,negatif
Transaksi berjalan dengan normal,netral
Seller tidak responsif dan tidak jujur,negatif
Standar saja tidak lebih tidak kurang,netral
Kualitas sangat mengecewakan tidak worth it,negatif
Desain keren dan elegan banget,positif
Produk bagus sesuai ekspektasi,positif
Produk lumayan untuk keperluan sehari-hari,netral
Sangat kecewa dengan layanan seller ini,negatif
Pengiriman memakan waktu tiga hari,netral
Produk jelek tidak bisa dipakai,negatif
Produk rusak sejak awal,negatif
Suka banget sama produknya bagus bgt,positif
Kualitas sangat buruk mudah rusak,negatif
Produk ini luar biasa bagusnya,positif
Seller responsif dan helpful banget,positif
Sangat kecewa dengan produk ini,negatif
Transaksi berjalan normal dan lancar,netral
Produk tidak layak dijual,negatif
Bahan tipis mudah sobek kecewa,negatif
Belanja di sini selalu memuaskan,positif
Seller jujur dan produk berkualitas,positif
Produk cacat tidak layak jual,negatif
Kualitas jelek tidak sesuai harga,negatif
Kondisi produk perfect no defect,positif
Sangat tidak puas dan kecewa berat,negatif
Tidak sesuai gambar sangat beda,negatif
Pengiriman sesuai standar tidak ada masalah berarti,netral
Produk sesuai ekspektasi tidak lebih,netral
Mantap jiwa produknya oke banget,positif
Produk sesuai foto kondisi standar,netral
Barang sudah sampai dengan kondisi normal,netral
Seller ramah dan cepat respon,positif
Produk premium dengan harga yang sangat terjangkau,positif
Kondisi barang cukup baik saat diterima,netral
Warna sesuai di foto tidak pudar,positif
Mantap seller terpercaya recommended,positif
Seller bohong produk tidak asli,negatif
Barang ori harga fair kualitas oke,positif
Harga mahal tapi kualitas sangat buruk,negatif
Produk ini luar biasa keren banget,positif
Produk tidak berfungsi dengan baik,negatif
Pengiriman express tepat waktu,positif
Kualitas sangat jauh dari ekspektasi,negatif
Jangan beli produk ini rugi besar,negatif
Saya sangat senang dengan produk ini,positif
Penjual sangat responsif dan membantu,positif
Ukuran tidak sesuai keterangan,negatif
Pengiriman tidak tepat waktu sangat lama,negatif
